,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
83,Soraka,12,BOTTOM,2,0,11,7481,8,3000,True,1,True,False,True,False,1,2,0,5,5.53
84,Senna,18,BOTTOM,14,7,21,20969,70,47936,True,3,True,False,False,False,1,1,1,3,31.38
85,Soraka,10,BOTTOM,4,2,3,6500,17,3250,False,0,False,False,False,False,0,0,2,4,11.72
86,Soraka,11,BOTTOM,0,8,13,6101,13,4425,False,0,False,False,False,False,0,0,1,0,7.07
87,Soraka,16,BOTTOM,0,8,23,10008,30,6240,True,1,False,False,False,False,0,1,1,0,4.91
88,Soraka,6,NONE,0,1,4,2819,13,1757,False,0,False,False,False,False,0,0,0,0,13.11
89,Soraka,13,BOTTOM,0,3,8,7311,24,4996,False,0,False,False,False,False,0,1,1,1,11.36
90,Sona,13,JUNGLE,3,4,19,9506,18,9485,True,1,False,False,False,False,0,2,0,5,11.74
91,Sona,9,MIDDLE,2,7,3,5312,9,3750,False,0,False,False,False,False,0,0,0,2,9.62
92,Sona,12,BOTTOM,1,5,18,6977,12,6313,True,1,False,False,False,False,0,0,0,1,8.4
93,Soraka,16,BOTTOM,1,7,26,11516,41,6113,False,0,False,False,False,False,0,0,2,3,4.41
94,Soraka,16,BOTTOM,1,1,14,9667,69,6392,False,1,False,False,False,True,0,1,1,0,5.53
95,Sona,12,BOTTOM,0,2,6,6559,33,5276,False,0,False,False,False,False,0,0,0,3,9.13
96,Soraka,10,BOTTOM,0,4,1,4254,9,2336,False,0,False,False,False,False,0,0,2,0,7.68
97,Soraka,14,BOTTOM,1,2,21,9066,29,5259,True,0,False,False,False,False,0,2,0,1,5.16
98,Yuumi,14,BOTTOM,1,7,17,9475,4,9075,False,0,False,True,False,False,0,0,1,4,12.26
99,Karma,11,JUNGLE,2,5,8,7386,26,5691,False,0,False,False,False,False,0,0,1,1,10.48
