,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
49,Nami,12,BOTTOM,2,8,10,7653,9,6847,False,0,True,False,False,False,0,1,0,2,8.26,4/14/2022
50,Nautilus,10,BOTTOM,1,8,4,5331,29,4446,False,0,False,False,False,False,0,0,2,1,7.8,4/14/2022
51,Rell,9,BOTTOM,1,6,9,5366,29,4130,False,0,False,False,False,False,0,0,0,0,10.37,4/14/2022
52,Yuumi,14,MIDDLE,4,5,25,9928,12,12863,False,1,True,False,False,False,0,1,2,1,9.43,4/14/2022
53,Bard,16,BOTTOM,1,7,17,9710,41,10394,False,1,False,False,False,False,0,0,4,0,10.19,4/13/2022
54,Morgana,8,NONE,0,3,2,4817,33,2067,False,0,True,False,False,False,0,0,0,6,9.13,4/13/2022
55,Nautilus,10,NONE,2,1,8,6526,36,2880,True,0,False,False,True,False,0,1,0,5,6.42,4/13/2022
56,Ivern,11,JUNGLE,1,2,12,7366,28,4663,True,1,True,False,False,False,1,1,0,3,8.32,4/13/2022
57,Xerath,16,BOTTOM,2,5,11,10692,83,16721,True,2,True,False,True,False,0,1,0,2,17.16,4/13/2022
58,Ivern,7,NONE,2,4,2,4107,26,4404,False,0,False,False,False,False,0,0,1,1,15.39,4/13/2022
59,Soraka,9,BOTTOM,0,5,3,4590,8,2711,False,0,False,False,False,False,0,0,1,0,7.9,4/13/2022
60,JarvanIV,9,BOTTOM,1,8,1,4472,10,5709,False,0,False,False,False,False,0,0,1,1,18.14,4/13/2022
61,Nautilus,13,BOTTOM,1,2,12,7557,47,7121,True,1,False,False,False,False,1,1,0,2,10.42,4/13/2022
62,Yuumi,15,BOTTOM,1,3,23,9220,8,8978,True,1,True,False,False,False,0,1,0,1,8.84,4/13/2022
63,Trundle,12,BOTTOM,2,3,10,7608,47,3770,True,0,False,False,True,False,0,0,0,3,4.95,4/13/2022
64,Yuumi,11,MIDDLE,1,0,15,6889,5,4023,True,1,False,False,False,False,0,0,0,4,7.65,4/13/2022
65,Ivern,15,BOTTOM,3,4,19,10169,54,6969,True,2,False,False,False,False,0,1,0,2,8.02,4/13/2022
66,Ivern,12,BOTTOM,1,3,16,7434,34,4450,True,1,True,False,False,False,1,1,0,2,6.22,4/13/2022
67,Soraka,13,BOTTOM,1,3,10,6779,17,3605,False,0,False,False,False,False,0,0,3,2,5.75,4/13/2022
68,Janna,13,BOTTOM,0,4,16,7043,7,3478,True,1,False,False,False,False,0,1,0,3,5.12,4/13/2022
69,Taric,14,BOTTOM,0,6,22,8540,50,4520,True,1,False,False,False,False,0,1,0,2,5.06,4/13/2022
70,Nautilus,13,BOTTOM,1,9,20,8726,42,8796,True,2,False,False,False,False,0,1,0,0,7.89,4/12/2022
71,Bard,12,BOTTOM,0,0,15,6855,16,4933,True,1,False,False,False,False,0,0,0,3,6.77,4/12/2022
72,Senna,16,BOTTOM,6,6,24,15827,44,31509,True,1,False,False,False,False,0,2,0,6,26.31,4/12/2022
73,Senna,14,BOTTOM,7,4,15,11405,44,26543,True,0,True,False,False,False,0,1,0,3,23.39,4/12/2022
74,Senna,9,BOTTOM,0,1,10,7373,29,4952,True,0,True,False,True,False,0,0,0,7,10.58,4/12/2022
75,Senna,12,BOTTOM,4,2,10,8590,20,10683,True,0,False,False,False,False,1,2,0,3,15.71,4/12/2022
76,Ivern,12,BOTTOM,0,2,1,7031,41,2943,False,0,False,False,False,False,0,0,3,4,4.65,4/12/2022
