,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
56,Jayce,11,NONE,2,3,7,6781,87,7977,True,0,False,False,False,False,0,0,0,4,16.4
57,Leblanc,16,MIDDLE,17,4,10,14448,162,26942,True,1,False,False,False,False,0,1,0,2,22.05
58,Anivia,18,MIDDLE,6,6,6,14190,173,20124,False,0,False,False,False,False,0,0,3,0,14.86
59,Irelia,12,TOP,5,6,1,8386,142,7546,True,0,False,True,False,False,0,0,0,0,19.11
60,Irelia,11,NONE,3,1,0,6537,117,4021,True,0,False,False,False,True,0,0,0,5,16.25
61,Irelia,13,TOP,4,10,7,8151,144,14178,False,0,False,False,False,False,0,0,3,3,25.25
62,Soraka,4,BOTTOM,0,0,0,5135,0,836,False,0,False,False,False,False,0,0,4,0,1.06
63,Cassiopeia,15,BOTTOM,11,1,7,14124,164,15861,True,1,False,False,False,False,2,2,0,2,16.19
64,Kassadin,17,BOTTOM,12,6,3,14086,199,31770,True,0,False,False,False,False,0,0,0,0,26.67
65,Lucian,11,BOTTOM,2,3,6,7196,126,9482,True,0,False,False,False,False,0,0,0,0,16.83
66,Tristana,15,BOTTOM,5,11,9,11062,162,18767,False,0,False,False,False,False,0,0,3,1,16.51
67,Aphelios,9,NONE,1,3,1,4270,71,4183,False,0,False,False,False,False,0,0,0,1,18.49
68,Jhin,16,BOTTOM,4,12,4,12153,135,11999,False,1,False,False,False,False,0,0,1,1,7.03
69,Kassadin,18,BOTTOM,21,16,5,23203,200,72963,True,1,False,False,False,False,0,0,3,0,32.82
70,Senna,12,BOTTOM,1,4,2,6895,103,11172,False,0,False,False,False,False,0,0,0,0,18.01
