,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
51,Jayce,16,TOP,4,5,1,14137,246,14680,False,0,False,False,False,False,0,0,1,3,16.08,4/9/2022
52,Jayce,18,JUNGLE,14,4,8,22399,300,51508,True,2,False,False,False,False,0,1,4,2,29.32,4/9/2022
53,Jayce,12,TOP,3,9,0,8398,114,9155,False,0,False,False,False,False,0,0,0,0,15.34,4/9/2022
54,Rengar,18,JUNGLE,11,10,1,16963,227,30776,True,1,False,False,False,False,1,1,0,4,21.32,4/8/2022
55,Irelia,17,MIDDLE,3,9,4,15688,272,20751,False,0,False,False,False,False,0,0,1,1,27.71,4/8/2022
56,Jayce,14,TOP,4,9,5,9531,168,16233,False,0,False,False,False,False,0,0,1,1,27.81,4/8/2022
57,Jayce,18,TOP,12,9,11,16194,205,33280,True,1,False,False,False,False,0,0,1,5,30.28,4/8/2022
58,Jayce,15,TOP,9,5,4,12001,142,18521,True,1,False,False,False,False,0,0,0,1,22.92,4/8/2022
59,Jayce,16,TOP,13,3,8,15497,195,31326,True,0,False,False,False,True,0,1,0,4,38.62,4/8/2022
60,Jayce,17,TOP,1,13,5,14033,203,32531,False,1,False,False,False,False,1,2,1,3,23.83,4/8/2022
61,Jayce,15,TOP,9,2,8,14381,184,23573,True,1,False,True,True,False,0,1,0,8,29.7,4/7/2022
62,Jayce,14,TOP,5,10,5,11206,162,20711,False,0,False,False,False,False,0,0,5,0,21.04,4/5/2022
63,Gwen,13,TOP,3,9,1,8406,144,18441,False,0,False,False,False,False,0,0,2,0,23.81,4/5/2022
64,Irelia,17,MIDDLE,7,7,4,16588,256,20053,False,1,False,False,False,False,0,1,1,3,19.1,4/4/2022
65,Jayce,14,JUNGLE,7,4,7,10286,131,16253,True,0,False,False,False,False,0,0,0,1,24.14,4/4/2022
66,Jayce,17,TOP,6,9,6,13259,196,21308,False,1,False,False,False,False,0,0,2,2,24.86,4/4/2022
67,Jayce,14,TOP,11,6,1,11593,143,18467,True,0,False,False,False,False,0,0,0,5,32.35,4/4/2022
68,Akali,10,TOP,2,11,4,6437,78,8496,True,0,False,False,False,False,0,0,0,3,17.46,4/4/2022
69,Aatrox,16,MIDDLE,10,10,6,14996,179,30771,False,0,False,False,False,False,0,0,1,1,19.61,4/4/2022
70,Jayce,15,TOP,7,5,7,13148,185,13913,True,1,False,False,False,False,0,2,0,3,22.4,4/4/2022
71,Jayce,12,TOP,2,6,0,7138,152,13732,False,0,False,False,False,False,0,0,0,0,27.65,4/4/2022
72,Jayce,16,TOP,8,5,6,12517,161,27152,True,1,False,False,False,False,0,0,0,4,32.29,4/4/2022
73,Irelia,13,MIDDLE,5,4,1,8717,165,12450,False,0,False,False,False,False,0,0,2,0,32.38,4/3/2022
74,Kayle,15,TOP,2,4,2,10105,218,10141,False,0,False,False,False,False,0,0,2,5,27.16,4/3/2022
75,Jayce,14,TOP,3,5,8,9279,165,19442,False,0,False,False,False,False,0,0,1,3,33.74,4/3/2022
76,Kennen,16,TOP,5,4,10,13551,193,18130,True,1,True,False,False,False,0,0,0,3,17.52,4/3/2022
77,Jayce,16,TOP,9,7,3,14671,190,25226,False,0,False,False,True,False,0,0,1,5,24.06,4/3/2022
78,Irelia,12,TOP,2,7,3,6879,138,14909,False,0,False,False,False,False,0,0,1,0,29.57,4/3/2022
79,Jayce,18,TOP,5,14,7,17072,259,43647,True,0,False,False,False,False,1,2,1,1,23.35,4/3/2022
