,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
56,Lux,15,MIDDLE,3,3,0,10738,215,13495,False,1,False,False,False,False,0,0,0,0,21.88
57,Lux,16,MIDDLE,12,5,5,15202,200,26863,False,0,False,False,False,False,0,0,2,3,35.74
58,Yasuo,15,BOTTOM,12,7,3,14454,182,20180,True,1,False,False,True,False,0,0,0,1,22.42
59,Lux,18,MIDDLE,5,3,18,16111,259,28224,True,1,False,False,False,False,0,1,3,0,18.74
60,Nunu,16,MIDDLE,23,9,8,15985,85,31403,True,1,True,False,False,False,0,0,2,1,36.23
61,Lux,14,MIDDLE,15,8,2,12814,124,36860,False,0,False,False,True,False,0,0,2,7,43.15
62,Kaisa,13,BOTTOM,4,7,8,9760,149,24923,False,0,False,False,True,False,0,0,2,3,31.63
63,Jhin,15,BOTTOM,17,5,19,14907,163,35316,True,0,True,False,False,False,1,2,1,6,29.84
64,Zeri,8,NONE,0,6,0,4533,111,5270,False,0,False,False,False,False,0,0,0,0,24.89
65,Varus,17,BOTTOM,15,10,12,17113,182,52816,False,0,False,False,False,False,0,0,2,2,35.97
66,Ashe,17,BOTTOM,11,3,13,16155,194,38197,True,2,False,False,False,False,1,1,1,4,26.85
67,Ashe,14,BOTTOM,3,6,11,10644,165,16530,False,0,False,False,False,False,0,0,1,0,24.48
68,Xerath,16,MIDDLE,1,3,11,12174,212,17252,True,2,False,False,False,False,0,1,0,0,18.7
69,Lux,13,MIDDLE,5,4,5,9573,151,13737,True,0,False,False,False,False,0,0,0,0,21.76
70,Lux,15,MIDDLE,10,2,11,13890,176,22499,True,1,False,False,True,False,0,1,0,5,32.37
71,Janna,13,BOTTOM,0,2,17,7135,10,4883,True,1,False,False,False,False,0,1,0,0,6.35
72,Lux,15,MIDDLE,9,8,3,13171,183,24708,False,1,False,False,False,False,0,0,2,0,27.35
73,Lux,12,NONE,2,1,0,6961,159,8654,False,0,False,False,False,False,0,0,0,1,28.72
74,Lux,11,MIDDLE,4,2,5,7859,115,9881,True,0,False,False,False,False,0,1,0,1,23.1
75,Lux,11,BOTTOM,2,3,13,7202,13,9735,True,0,False,False,False,False,0,1,0,2,17.25
76,Ezreal,8,NONE,2,5,2,5328,91,9863,False,0,False,False,False,False,0,0,0,0,41.28
77,Yuumi,14,BOTTOM,5,1,26,9694,5,9492,True,1,True,False,False,False,0,0,0,1,9.94
78,Lux,13,NONE,3,1,6,8238,163,12509,True,0,False,False,False,False,0,0,0,3,31.87
79,Alistar,9,NONE,1,6,5,4433,57,4705,False,0,False,False,False,False,0,0,0,0,14.37
80,Zyra,16,MIDDLE,5,4,11,11971,200,28557,True,2,False,False,False,False,0,1,0,1,28.32
81,Janna,11,BOTTOM,2,1,18,6770,8,5089,True,0,True,False,False,False,0,2,0,1,7.54
82,Janna,12,BOTTOM,0,4,6,6602,5,3057,False,1,False,False,False,False,0,0,1,0,5.17
83,Janna,13,BOTTOM,1,3,19,7723,7,3787,True,1,False,False,False,False,0,2,0,1,4.41
84,Lux,14,BOTTOM,5,3,9,11586,40,26904,True,2,False,False,False,True,0,1,0,6,28.08
85,Lux,11,BOTTOM,7,9,7,9949,27,26613,False,0,False,False,True,False,0,0,0,8,28.15
86,Yasuo,15,BOTTOM,9,8,4,14122,200,20101,True,1,False,False,False,True,1,2,0,6,18.36
87,Caitlyn,10,NONE,9,0,1,8057,120,8875,True,0,False,False,False,True,0,0,0,4,25.14
88,Ashe,13,MIDDLE,5,1,5,8516,156,8688,True,0,False,False,False,False,0,0,0,0,15.5
