,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
0,Jinx,17,BOTTOM,12,10,7,17740,213,31502,False,0,False,True,False,False,0,0,2,2,24.74,4/16/2022
1,Jinx,17,BOTTOM,11,9,12,18888,276,33718,True,1,True,False,False,False,0,0,0,1,32.79,4/16/2022
2,Leona,17,BOTTOM,6,2,18,11054,46,9135,False,1,False,False,False,False,0,0,5,0,5.06,4/16/2022
3,Zilean,14,BOTTOM,1,9,19,8113,51,15666,False,0,False,False,False,False,0,0,3,0,16.77,4/16/2022
4,Leona,11,NONE,4,0,19,7537,30,6291,True,0,False,False,False,False,0,1,0,6,10.19,4/16/2022
5,Ornn,11,NONE,1,7,2,5556,115,9769,False,0,False,False,False,False,0,0,3,1,28.31,4/16/2022
6,Gnar,18,JUNGLE,15,10,14,22573,290,58706,False,1,False,False,False,True,0,0,7,0,29.26,4/16/2022
7,Rumble,18,TOP,12,7,13,18803,224,49646,True,2,False,False,False,False,0,0,1,2,28.52,4/15/2022
8,LeeSin,16,JUNGLE,3,5,4,12147,78,10534,False,0,False,True,False,False,0,0,3,0,13.81,4/14/2022
9,Ezreal,14,BOTTOM,0,8,3,10946,236,16264,False,0,False,False,False,False,0,0,2,0,17.98,4/14/2022
10,Jinx,18,BOTTOM,10,7,9,18881,269,33031,False,1,False,False,False,False,1,1,1,4,26.92,4/14/2022
11,Gnar,14,MIDDLE,2,9,5,9118,164,12619,False,0,False,False,False,False,0,0,3,2,18.54,4/11/2022
12,LeeSin,13,TOP,0,5,5,6964,130,6190,False,0,False,False,False,False,0,0,1,0,11.26,4/11/2022
13,Gnar,13,TOP,1,4,2,7115,137,12603,True,0,False,False,False,False,0,0,0,0,21.6,4/11/2022
14,Gnar,11,NONE,3,0,7,7289,88,7888,True,0,False,False,False,False,0,0,0,5,23.24,4/11/2022
15,Gnar,18,TOP,10,7,10,18992,244,41114,False,1,False,True,False,True,1,1,2,4,34.79,4/9/2022
16,Sett,14,TOP,5,7,9,12269,132,15749,True,1,False,False,False,False,0,2,0,5,19.07,4/9/2022
17,Chogath,17,TOP,9,10,8,15304,186,31230,False,0,False,False,False,False,0,0,4,0,30.54,4/9/2022
