,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
56,Teemo,14,TOP,3,8,5,9225,151,17184,False,0,False,False,False,False,0,0,1,2,29.28
57,XinZhao,16,JUNGLE,6,8,12,12511,28,16755,True,1,False,False,False,True,1,1,0,2,13.49
58,Lux,8,NONE,1,2,3,4169,20,4681,False,0,False,False,False,False,0,0,0,4,21.82
59,Caitlyn,18,BOTTOM,8,7,7,15845,215,26841,True,1,False,False,False,False,0,1,1,2,18.79
60,Kaisa,18,BOTTOM,8,8,9,15782,237,28293,False,0,True,False,False,False,0,0,3,2,20.91
61,Kaisa,18,MIDDLE,11,13,5,18502,234,37931,True,0,False,False,False,False,0,1,0,2,30.18
62,Caitlyn,12,BOTTOM,1,6,5,7349,151,9788,False,0,False,False,False,False,0,0,1,1,17.68
63,Kaisa,17,MIDDLE,8,2,5,14677,277,35575,False,0,False,False,False,False,0,0,2,0,31.67
64,Kaisa,17,BOTTOM,6,6,12,15142,273,26468,False,0,False,False,False,False,0,0,4,1,25.92
65,Kaisa,12,BOTTOM,5,5,12,8253,29,12556,True,0,False,False,False,False,0,0,0,1,16.3
66,Caitlyn,16,BOTTOM,8,2,7,15119,231,18066,True,1,False,False,False,False,1,2,0,2,20.32
67,Caitlyn,14,BOTTOM,0,1,1,7965,198,6592,False,0,False,False,False,False,0,0,3,0,12.05
68,Teemo,11,NONE,4,2,0,7198,129,16531,True,0,False,False,False,False,0,0,0,5,42.53
69,Jinx,17,BOTTOM,16,5,12,19387,216,37563,True,0,False,False,False,False,0,1,0,3,34.95
70,Caitlyn,11,BOTTOM,3,4,1,8534,167,3363,False,0,False,False,False,True,0,0,2,5,9.77
71,Nocturne,17,JUNGLE,18,2,7,16650,38,23031,True,1,True,False,False,False,0,0,0,4,30.62
72,Jinx,18,BOTTOM,13,2,7,19928,246,30694,True,2,True,False,False,False,0,0,0,8,18.8
73,Caitlyn,15,BOTTOM,6,6,4,13745,229,18479,True,1,False,False,False,False,0,0,0,4,16.4
74,Teemo,17,TOP,5,3,7,13412,188,19471,True,1,False,False,False,False,1,1,0,3,18.53
75,Quinn,16,TOP,4,9,5,11975,184,15399,False,0,False,False,False,False,0,0,1,1,13.26
76,Udyr,15,JUNGLE,10,2,8,12255,65,18254,True,1,False,False,True,False,0,1,0,4,18.91
77,Ezreal,13,TOP,6,2,6,10202,144,13163,True,0,True,False,False,False,1,3,0,5,19.91
78,Quinn,18,TOP,15,2,7,16686,194,38270,True,2,False,False,False,False,2,2,0,2,28.71
79,Jinx,10,NONE,6,0,3,7087,124,9010,True,0,True,False,False,False,0,0,0,3,35.94
80,Caitlyn,14,BOTTOM,5,9,4,11160,175,17795,False,0,False,False,True,False,0,0,1,7,19.54
81,Caitlyn,14,BOTTOM,4,1,1,11079,182,12930,True,0,False,True,False,False,0,0,0,5,18.25
82,Nautilus,12,BOTTOM,3,4,4,7381,53,8211,False,0,False,True,False,False,0,0,1,1,13.25
83,Jinx,12,BOTTOM,2,6,3,8227,141,8795,False,0,True,False,False,False,0,0,1,0,16.46
84,XinZhao,16,JUNGLE,6,4,10,13904,44,16561,False,0,False,True,False,False,0,0,1,0,15.7
85,Nocturne,10,BOTTOM,0,2,2,5933,15,2675,False,0,False,False,False,False,0,0,0,0,7.0
86,Caitlyn,13,BOTTOM,2,3,7,9162,151,9742,False,0,False,False,False,False,0,0,3,2,22.79
87,Caitlyn,16,BOTTOM,5,7,7,14092,244,24473,False,0,False,False,False,False,0,0,3,3,20.17
88,Jinx,17,BOTTOM,11,6,13,16982,206,61043,False,0,False,False,False,True,0,0,2,0,33.37
89,Kaisa,13,BOTTOM,5,2,10,10248,130,11958,True,0,False,False,False,False,0,0,0,3,21.77
90,Caitlyn,16,BOTTOM,7,6,10,14292,202,21258,True,1,False,False,False,False,1,1,0,1,20.45
91,Jinx,18,BOTTOM,10,6,18,19192,247,30756,True,1,False,False,False,True,1,2,0,2,24.9
92,Lux,18,BOTTOM,5,5,26,13299,105,38797,True,0,False,False,False,False,1,1,0,2,21.81
