,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,rank
65,Gangplank,15,TOP,2,4,4,11566,187,9502,True,1,False,False,False,False,0,1,0,4,18.29,Challenger
66,Kennen,16,TOP,4,6,6,12258,222,23237,False,0,True,False,False,False,0,0,0,2,33.09,Challenger
67,Tryndamere,18,MIDDLE,12,10,7,18889,289,32714,False,2,False,True,False,False,0,0,1,1,29.74,Challenger
68,Graves,18,TOP,3,12,5,13643,237,17852,True,2,False,False,False,False,0,0,0,0,17.56,Challenger
69,Trundle,13,NONE,5,0,1,9674,179,8088,True,0,False,False,False,False,1,1,0,2,21.32,Challenger
70,Graves,18,JUNGLE,9,8,13,18690,298,41319,False,1,False,False,False,False,0,0,2,4,36.81,Challenger
71,Hecarim,16,JUNGLE,7,3,7,14239,53,29722,False,0,False,False,False,False,0,0,1,0,38.01,Challenger
72,Urgot,11,NONE,4,1,4,6759,103,4180,True,0,False,False,False,False,0,0,0,3,12.22,Challenger
73,Gragas,15,TOP,3,3,7,9664,169,17191,True,1,False,False,False,False,0,0,0,1,26.52,Challenger
74,Trundle,15,TOP,2,4,6,9137,174,13377,True,1,False,False,False,False,0,0,0,0,22.86,Challenger
75,Jhin,10,NONE,4,6,3,7602,140,7877,False,0,False,False,False,False,0,0,1,2,19.53,Challenger
76,Gragas,13,TOP,2,5,1,7158,153,12486,False,0,False,False,False,False,0,0,2,0,35.52,Challenger
77,Gragas,13,TOP,1,11,11,8483,152,22218,False,0,False,False,False,False,0,0,2,1,24.24,Challenger
78,Jayce,14,MIDDLE,1,6,0,9059,198,12807,False,0,False,False,False,False,0,0,2,1,25.46,Challenger
79,LeeSin,16,JUNGLE,21,1,13,17055,71,36877,True,1,False,False,False,False,0,2,0,0,44.23,Challenger
80,Sett,16,TOP,10,8,4,15245,194,21945,True,1,False,False,False,True,1,1,0,5,22.52,Challenger
81,Gnar,16,TOP,4,4,3,11919,205,22223,True,1,False,False,False,False,0,0,0,3,26.34,Challenger
82,Gnar,14,TOP,3,2,4,11335,180,15536,True,0,False,False,False,False,0,0,0,6,22.71,Challenger
83,Volibear,16,TOP,5,1,5,13154,207,14524,True,1,False,False,False,False,1,1,0,3,24.98,Challenger
84,Renekton,16,TOP,8,6,4,15036,216,29453,True,0,False,False,False,False,1,2,0,7,36.58,Challenger
85,Yone,16,TOP,10,6,8,17040,230,24173,False,0,False,False,False,False,0,0,2,5,30.75,Challenger
86,Camille,16,NONE,7,6,8,11955,171,16746,True,2,False,False,False,False,0,3,0,0,18.34,Challenger
87,Shyvana,18,TOP,9,7,9,18606,269,39120,True,2,False,False,False,False,0,1,0,5,33.04,Challenger
88,Akali,12,TOP,2,9,3,7003,141,12553,False,0,False,False,False,False,0,0,0,1,32.21,Challenger
89,Camille,14,TOP,6,7,6,11738,172,17759,False,0,True,False,False,True,0,0,0,9,27.36,Challenger
90,Viktor,16,MIDDLE,6,4,8,12120,210,14794,True,1,False,False,False,False,1,2,0,2,16.3,Challenger
91,Viktor,18,MIDDLE,22,7,9,25234,368,66541,True,1,False,False,False,False,0,0,3,1,37.64,Challenger
92,Viego,12,NONE,8,0,4,8875,141,15306,True,0,True,False,False,True,0,0,0,4,38.59,Challenger
0,Jinx,14,BOTTOM,7,10,3,11686,124,17509,False,0,False,False,False,False,0,0,3,1,22.46,Iron
1,Samira,18,BOTTOM,26,7,10,27574,323,77636,False,1,False,True,False,False,0,0,4,0,47.93,Iron
2,Samira,15,BOTTOM,11,12,10,13538,144,23721,False,0,False,False,False,False,0,1,1,1,25.73,Iron
3,Samira,14,BOTTOM,10,7,1,13062,217,22912,False,0,False,True,False,False,1,1,1,1,26.88,Iron
4,Yuumi,8,BOTTOM,0,4,2,4350,2,2886,False,0,False,False,False,False,0,0,0,1,10.35,Iron
5,Samira,10,NONE,3,5,1,6718,98,6515,False,0,False,False,False,False,0,0,2,2,24.96,Iron
6,Samira,10,BOTTOM,2,1,0,7813,170,5396,False,0,False,False,False,False,0,0,0,0,12.15,Iron
7,Jinx,10,BOTTOM,3,6,3,6422,79,8663,False,0,False,False,False,False,0,0,3,0,20.63,Iron
8,Nidalee,10,JUNGLE,1,6,3,6054,4,5856,False,0,False,False,False,False,0,0,1,0,11.69,Iron
9,Nidalee,18,JUNGLE,11,10,12,15642,38,32587,False,1,False,False,False,False,0,0,6,0,24.68,Iron
10,Nidalee,18,JUNGLE,7,7,3,17162,44,17506,False,2,False,False,False,False,0,0,5,2,10.89,Iron
11,Jinx,7,NONE,0,2,1,3487,40,2350,False,0,False,False,False,False,0,0,0,1,13.25,Iron
12,Azir,11,NONE,2,1,1,5338,79,3372,True,0,False,False,False,False,0,0,0,1,7.03,Iron
13,Nami,10,BOTTOM,0,0,9,5945,10,4874,True,0,False,False,False,False,0,1,0,0,8.39,Iron
14,Soraka,14,BOTTOM,2,4,9,8042,29,5541,True,1,False,False,False,False,0,1,0,0,6.52,Iron
15,Jinx,14,BOTTOM,4,9,6,10535,112,12438,True,1,False,False,False,False,1,1,0,0,12.21,Iron
16,Soraka,16,BOTTOM,3,7,22,9446,29,8200,True,0,False,False,False,False,0,1,1,1,7.15,Iron
17,Yuumi,13,BOTTOM,1,0,20,6945,7,4050,True,0,False,False,False,False,0,0,0,1,5.46,Iron
18,Kayle,15,TOP,3,7,4,10493,90,5590,True,2,False,False,False,False,0,0,2,0,4.36,Iron
19,Hecarim,13,JUNGLE,1,3,3,8007,26,4561,False,0,False,False,False,False,0,0,3,0,5.2,Iron
20,Ahri,14,MIDDLE,2,2,1,9748,143,6873,True,0,False,False,False,False,0,0,0,2,6.22,Iron
21,Caitlyn,10,BOTTOM,1,8,2,5909,80,9103,False,0,False,False,False,False,0,0,0,0,21.53,Iron
22,Vayne,16,BOTTOM,9,10,4,14563,164,19284,True,1,False,False,False,False,0,0,2,3,14.86,Iron
23,Kaisa,2,NONE,0,0,0,826,9,799,False,0,False,False,False,False,0,0,0,0,34.54,Iron
24,Jinx,11,BOTTOM,3,5,3,7675,118,12933,False,0,False,False,False,False,0,0,3,1,25.75,Iron
25,Ivern,12,BOTTOM,0,0,6,6623,16,4997,True,1,False,False,False,False,0,1,0,0,9.33,Iron
26,Vayne,11,BOTTOM,1,10,1,6231,70,3055,False,0,False,False,False,False,0,0,2,2,5.13,Iron
27,Kaisa,17,BOTTOM,15,6,7,16856,182,32557,False,1,False,False,False,False,0,0,4,0,22.08,Iron
28,Kaisa,3,NONE,0,0,0,845,8,658,False,0,False,False,False,False,0,0,0,0,23.62,Iron
29,Zeri,16,BOTTOM,6,14,3,16166,243,23461,False,0,False,True,False,False,0,0,1,2,13.04,Iron
30,Zeri,8,NONE,0,3,0,4035,79,3641,False,0,False,False,False,False,0,0,0,0,17.67,Iron
31,Tristana,9,BOTTOM,2,4,4,5570,70,5528,False,0,False,False,False,False,0,0,0,0,27.53,Iron
32,Yuumi,16,BOTTOM,5,4,37,11441,1,11201,True,1,False,False,False,False,0,1,0,0,9.47,Iron
33,Yuumi,10,MIDDLE,0,4,4,5174,3,4479,False,0,False,False,False,False,0,0,0,1,9.85,Iron
34,Caitlyn,1,NONE,0,1,0,1549,1,180,False,0,False,False,False,False,0,0,0,0,1.79,Iron
35,Yuumi,13,BOTTOM,2,3,10,8209,3,9874,False,0,False,False,False,False,0,0,1,0,12.56,Iron
36,Ashe,11,BOTTOM,2,0,5,7139,98,6494,True,0,False,False,False,False,0,0,0,1,14.76,Iron
37,Yuumi,15,BOTTOM,2,3,26,9358,5,10367,True,0,False,False,False,False,0,0,1,0,8.63,Iron
38,Pantheon,13,BOTTOM,1,10,2,7114,36,9172,False,0,False,False,False,False,0,0,3,0,11.03,Iron
39,Yuumi,11,BOTTOM,0,0,15,7138,7,8283,True,0,False,False,False,False,0,2,0,0,10.57,Iron
40,Yuumi,9,BOTTOM,1,7,10,5680,0,4527,False,0,False,False,False,False,0,0,2,0,9.96,Iron
41,Twitch,18,BOTTOM,25,7,7,21668,199,63056,True,0,False,False,False,False,1,1,0,3,34.46,Iron
42,Twitch,12,BOTTOM,6,7,7,9126,72,15422,True,0,False,False,False,False,0,0,0,0,15.1,Iron
43,Kalista,11,BOTTOM,4,2,2,7832,118,7409,True,0,False,False,False,False,1,1,0,3,12.04,Iron
44,Kalista,14,BOTTOM,2,6,5,10752,161,12962,True,0,False,False,False,False,0,0,0,0,11.14,Iron
45,Leblanc,13,BOTTOM,4,11,8,8564,54,14919,False,0,False,False,False,False,0,0,2,0,24.87,Iron
46,Kindred,15,BOTTOM,7,11,6,12700,105,20000,True,0,False,False,False,False,0,0,1,1,16.25,Iron
47,Alistar,13,MIDDLE,2,7,14,7953,44,7541,True,1,False,True,False,False,0,1,0,1,10.34,Iron
48,Leblanc,17,MIDDLE,5,5,5,10105,151,17200,False,0,False,False,False,False,0,0,2,0,20.41,Iron
49,Leblanc,13,TOP,7,5,4,9084,104,11876,False,0,False,False,False,False,0,0,1,2,20.75,Iron
50,Katarina,17,MIDDLE,4,16,14,12375,132,20807,True,1,False,True,False,False,0,0,4,1,14.92,Iron
51,Leblanc,13,TOP,8,2,1,8356,109,15910,True,0,False,False,False,False,0,0,0,0,26.51,Iron
52,Leblanc,12,MIDDLE,3,2,0,7295,113,5801,True,0,False,False,False,False,0,0,0,1,7.45,Iron
53,Vex,15,MIDDLE,6,9,13,10169,111,21536,True,1,False,False,False,False,0,2,0,0,21.37,Iron
54,Katarina,18,MIDDLE,13,8,6,17294,201,30917,True,1,False,False,False,False,1,1,0,1,24.3,Iron
55,Leblanc,18,MIDDLE,14,5,9,16939,191,45441,False,0,False,False,False,False,0,0,2,2,27.03,Iron
56,Jayce,11,NONE,2,3,7,6781,87,7977,True,0,False,False,False,False,0,0,0,4,16.4,Iron
57,Leblanc,16,MIDDLE,17,4,10,14448,162,26942,True,1,False,False,False,False,0,1,0,2,22.05,Iron
58,Anivia,18,MIDDLE,6,6,6,14190,173,20124,False,0,False,False,False,False,0,0,3,0,14.86,Iron
59,Irelia,12,TOP,5,6,1,8386,142,7546,True,0,False,True,False,False,0,0,0,0,19.11,Iron
60,Irelia,11,NONE,3,1,0,6537,117,4021,True,0,False,False,False,True,0,0,0,5,16.25,Iron
61,Irelia,13,TOP,4,10,7,8151,144,14178,False,0,False,False,False,False,0,0,3,3,25.25,Iron
62,Soraka,4,BOTTOM,0,0,0,5135,0,836,False,0,False,False,False,False,0,0,4,0,1.06,Iron
63,Cassiopeia,15,BOTTOM,11,1,7,14124,164,15861,True,1,False,False,False,False,2,2,0,2,16.19,Iron
64,Kassadin,17,BOTTOM,12,6,3,14086,199,31770,True,0,False,False,False,False,0,0,0,0,26.67,Iron
65,Lucian,11,BOTTOM,2,3,6,7196,126,9482,True,0,False,False,False,False,0,0,0,0,16.83,Iron
66,Tristana,15,BOTTOM,5,11,9,11062,162,18767,False,0,False,False,False,False,0,0,3,1,16.51,Iron
67,Aphelios,9,NONE,1,3,1,4270,71,4183,False,0,False,False,False,False,0,0,0,1,18.49,Iron
68,Jhin,16,BOTTOM,4,12,4,12153,135,11999,False,1,False,False,False,False,0,0,1,1,7.03,Iron
69,Kassadin,18,BOTTOM,21,16,5,23203,200,72963,True,1,False,False,False,False,0,0,3,0,32.82,Iron
70,Senna,12,BOTTOM,1,4,2,6895,103,11172,False,0,False,False,False,False,0,0,0,0,18.01,Iron
71,Ashe,10,BOTTOM,0,5,4,5071,54,6513,True,0,False,False,False,False,0,0,0,0,9.6,Iron
72,Vayne,13,MIDDLE,1,11,5,6872,82,7397,False,0,False,False,False,False,0,0,2,0,9.52,Iron
73,Kassadin,11,BOTTOM,4,7,5,7606,95,9619,True,0,False,False,False,False,0,0,0,0,13.04,Iron
74,Kaisa,3,NONE,1,0,0,1311,16,408,True,0,False,False,False,False,0,0,0,0,18.54,Iron
75,Twitch,14,NONE,8,5,3,11442,96,12743,True,1,False,True,False,False,0,1,0,0,14.78,Iron
76,Sivir,16,NONE,4,9,9,11424,157,13430,False,0,False,False,False,False,0,0,4,0,9.11,Iron
77,KogMaw,9,NONE,3,6,3,5458,80,4957,False,0,False,False,False,False,0,0,0,2,15.5,Iron
78,Zeri,14,BOTTOM,7,9,9,11217,104,19562,True,0,False,False,False,False,0,0,0,0,15.9,Iron
79,Zeri,10,BOTTOM,7,5,3,8240,97,10036,False,0,False,False,True,False,0,0,0,1,22.49,Iron
80,Samira,18,BOTTOM,17,8,17,20116,201,42335,True,2,True,False,False,False,1,1,1,1,28.63,Iron
81,Samira,13,BOTTOM,4,9,7,10269,155,10900,False,0,False,False,False,False,0,0,2,0,14.45,Iron
82,Samira,13,BOTTOM,4,3,2,11618,208,12766,True,0,False,False,False,False,0,1,0,3,13.71,Iron
83,Samira,12,BOTTOM,4,7,5,8559,121,8713,False,0,False,False,False,False,0,0,3,0,13.1,Iron
84,Samira,17,BOTTOM,4,9,4,13676,211,13578,False,0,False,False,False,False,0,0,2,0,15.7,Iron
85,Janna,9,NONE,3,3,8,6419,5,5651,True,0,False,False,False,False,0,2,0,7,16.15,Iron
86,Karma,15,BOTTOM,4,2,13,10765,60,21477,False,0,False,False,False,False,0,0,4,3,23.32,Iron
87,Karma,3,NONE,0,0,0,756,2,594,False,0,False,False,False,False,0,0,0,0,33.56,Iron
88,Soraka,13,BOTTOM,1,1,16,8001,20,4518,True,1,True,False,False,False,1,2,0,1,5.59,Iron
89,Soraka,1,NONE,0,0,0,717,0,0,False,0,False,False,False,False,0,0,0,0,0.0,Iron
90,Janna,11,BOTTOM,0,4,9,6356,6,4044,False,0,False,False,False,False,0,0,2,0,5.59,Iron
91,Leblanc,13,MIDDLE,8,1,5,7768,89,14386,True,0,False,False,False,False,0,0,0,1,25.98,Iron
92,Leblanc,16,MIDDLE,15,7,7,12086,103,26239,False,0,False,False,False,False,0,0,1,1,35.22,Iron
93,Leblanc,17,MIDDLE,13,8,6,12283,117,29504,True,2,False,False,False,False,0,0,0,1,22.03,Iron
94,Leblanc,11,MIDDLE,2,8,5,5358,67,9191,False,0,False,False,False,False,0,0,2,0,26.32,Iron
95,Leblanc,3,NONE,0,1,0,902,11,1214,False,0,False,False,False,False,0,0,0,0,67.56,Iron
96,Leblanc,11,MIDDLE,1,3,3,6208,96,10341,False,0,False,False,False,False,0,0,0,0,37.6,Iron
0,Jinx,18,BOTTOM,22,11,14,23041,273,48143,False,1,True,False,False,True,1,2,2,7,31.21,Silver
1,Jinx,17,BOTTOM,7,7,14,16020,199,22529,True,1,False,False,False,False,1,1,0,1,19.11,Silver
2,Lux,16,BOTTOM,7,4,20,12081,49,26110,True,2,False,False,False,False,0,2,0,1,20.54,Silver
3,Velkoz,14,BOTTOM,3,12,6,9618,40,20193,False,0,False,False,False,False,0,0,1,1,21.44,Silver
4,Velkoz,14,BOTTOM,9,3,13,11699,61,22620,True,0,False,False,False,False,0,1,0,3,19.49,Silver
5,Lux,8,NONE,1,2,6,5287,17,4529,True,0,False,False,False,False,0,0,0,3,14.08,Silver
6,Jinx,12,BOTTOM,7,6,4,8701,120,11420,False,0,False,False,False,False,0,0,2,4,20.42,Silver
7,Kaisa,14,BOTTOM,3,5,9,10703,169,24601,False,0,True,False,False,True,0,0,1,5,27.05,Silver
8,Kaisa,16,BOTTOM,8,5,11,12930,180,23426,True,0,False,False,False,False,0,1,0,0,22.44,Silver
9,Ashe,14,BOTTOM,1,7,4,8955,181,6667,False,0,False,False,False,False,0,0,2,1,11.44,Silver
10,Jinx,18,BOTTOM,7,6,16,18313,245,23498,True,2,False,True,False,False,2,2,0,2,15.39,Silver
11,Jinx,15,BOTTOM,11,3,8,13622,156,20292,True,1,False,False,False,False,0,0,0,4,29.87,Silver
12,Twitch,11,BOTTOM,10,3,4,10423,123,14343,True,0,False,True,False,False,0,0,0,1,28.5,Silver
13,Twitch,10,NONE,10,3,4,7786,74,12169,True,0,False,False,False,False,0,0,0,2,28.39,Silver
14,Caitlyn,15,BOTTOM,6,2,9,13519,189,16784,True,0,False,False,False,True,2,2,0,2,19.46,Silver
15,Jinx,13,BOTTOM,11,3,6,12457,157,20210,True,0,False,False,False,False,1,2,0,3,24.2,Silver
16,Caitlyn,18,BOTTOM,19,8,14,25324,297,58112,True,3,False,False,False,False,3,4,2,0,24.85,Silver
17,Jinx,17,BOTTOM,15,8,11,18933,228,44419,False,1,False,False,False,False,0,0,2,2,37.39,Silver
18,Jinx,18,BOTTOM,18,6,9,21542,254,42057,True,1,False,False,False,False,1,3,0,3,27.98,Silver
19,Ashe,16,BOTTOM,12,2,18,14741,172,17317,True,1,False,False,False,False,1,1,0,4,16.25,Silver
20,Lux,14,BOTTOM,3,5,14,10089,39,15841,True,1,False,False,False,False,1,2,0,5,13.15,Silver
21,Jinx,18,BOTTOM,30,12,13,29364,331,74194,False,0,False,False,False,False,0,0,9,4,33.23,Silver
22,Quinn,11,NONE,6,2,4,6833,94,11682,True,0,False,False,False,False,0,0,0,2,34.42,Silver
23,Caitlyn,12,BOTTOM,3,9,5,9444,153,10029,False,0,False,False,False,False,0,0,3,2,17.56,Silver
24,Lux,15,MIDDLE,3,4,9,9219,151,13688,True,1,False,False,False,False,0,0,0,0,12.75,Silver
25,Kaisa,18,BOTTOM,12,6,15,17855,262,61853,True,1,False,False,False,False,0,1,2,2,39.16,Silver
26,Ashe,13,BOTTOM,7,3,12,11654,152,16049,True,0,False,False,False,False,0,0,0,1,20.91,Silver
27,Caitlyn,16,BOTTOM,8,7,10,15144,223,32371,False,0,False,False,True,False,0,0,3,5,27.59,Silver
28,Jinx,16,BOTTOM,6,4,11,14031,185,21885,True,1,True,False,False,False,1,1,0,3,19.98,Silver
29,Jhin,17,BOTTOM,8,6,12,12621,164,27717,False,0,True,False,False,False,0,0,3,0,25.42,Silver
30,Caitlyn,11,BOTTOM,7,13,5,9913,100,13512,False,0,False,True,False,False,0,0,1,2,25.31,Silver
31,Jinx,18,BOTTOM,7,5,10,16701,261,30226,False,0,False,False,False,False,0,0,5,1,18.83,Silver
32,Jhin,16,BOTTOM,9,13,8,13842,137,16787,False,1,False,False,False,False,0,0,3,1,13.59,Silver
33,Ashe,18,BOTTOM,5,11,20,16666,228,27847,False,0,False,False,False,False,0,0,5,1,14.54,Silver
34,Ezreal,18,BOTTOM,10,7,15,17556,203,34169,True,2,False,False,False,False,1,1,2,1,26.97,Silver
35,Jinx,18,BOTTOM,16,1,5,19280,296,36135,True,0,False,False,False,False,0,1,0,1,33.5,Silver
36,Ashe,16,BOTTOM,11,10,17,15779,149,27774,False,0,False,False,False,False,0,0,1,2,24.35,Silver
37,Caitlyn,18,BOTTOM,10,6,15,19680,276,37727,False,2,False,False,False,False,0,0,3,2,28.41,Silver
38,Tristana,18,BOTTOM,18,9,12,21050,222,41868,True,1,False,False,False,False,1,3,0,4,28.2,Silver
39,Zeri,7,NONE,1,1,2,3868,65,1756,True,0,False,False,False,False,0,0,0,3,10.28,Silver
40,Jinx,13,BOTTOM,4,7,10,11189,128,11287,False,0,False,False,False,False,0,0,2,2,14.65,Silver
41,Kaisa,8,NONE,4,3,5,5184,12,6647,True,0,False,False,False,False,0,0,0,2,16.58,Silver
42,Lux,15,BOTTOM,11,4,18,13008,41,26738,True,1,False,False,True,False,0,2,0,2,20.42,Silver
43,Jhin,18,BOTTOM,18,7,13,21159,228,43256,False,1,True,False,False,False,1,1,3,1,31.7,Silver
44,XinZhao,17,JUNGLE,9,9,19,15105,54,23396,True,0,False,False,False,False,0,1,1,2,16.23,Silver
45,Ashe,13,BOTTOM,2,6,10,9053,142,12952,False,0,False,False,False,False,0,0,2,3,19.75,Silver
46,Jinx,14,BOTTOM,3,8,4,10422,172,15301,False,0,False,False,False,False,0,0,2,1,18.2,Silver
47,Jinx,17,BOTTOM,15,10,10,18536,216,35136,False,0,False,False,False,False,0,0,5,0,43.43,Silver
48,Kaisa,16,BOTTOM,10,4,11,14584,221,26916,True,0,False,False,False,False,0,1,0,1,25.92,Silver
49,Ashe,16,BOTTOM,11,6,13,15181,163,20198,False,0,False,False,False,False,0,0,3,1,20.85,Silver
50,Quinn,14,TOP,1,5,4,8138,169,9641,False,0,False,False,False,False,0,0,2,0,17.99,Silver
51,Lux,14,BOTTOM,9,10,11,12257,50,23036,False,0,False,False,False,False,0,0,3,2,21.6,Silver
52,Blitzcrank,11,BOTTOM,4,10,6,7007,27,7516,False,0,False,False,False,False,0,0,1,0,13.91,Silver
53,Lucian,11,BOTTOM,1,3,1,6597,143,5108,False,0,False,False,False,False,0,0,3,0,13.77,Silver
54,Ashe,14,BOTTOM,7,1,13,12827,176,20146,True,0,False,False,False,False,0,1,1,3,22.51,Silver
55,Jinx,11,BOTTOM,2,0,10,8015,145,8193,True,0,False,False,False,False,0,1,0,4,16.24,Silver
56,Teemo,14,TOP,3,8,5,9225,151,17184,False,0,False,False,False,False,0,0,1,2,29.28,Silver
57,XinZhao,16,JUNGLE,6,8,12,12511,28,16755,True,1,False,False,False,True,1,1,0,2,13.49,Silver
58,Lux,8,NONE,1,2,3,4169,20,4681,False,0,False,False,False,False,0,0,0,4,21.82,Silver
59,Caitlyn,18,BOTTOM,8,7,7,15845,215,26841,True,1,False,False,False,False,0,1,1,2,18.79,Silver
60,Kaisa,18,BOTTOM,8,8,9,15782,237,28293,False,0,True,False,False,False,0,0,3,2,20.91,Silver
61,Kaisa,18,MIDDLE,11,13,5,18502,234,37931,True,0,False,False,False,False,0,1,0,2,30.18,Silver
62,Caitlyn,12,BOTTOM,1,6,5,7349,151,9788,False,0,False,False,False,False,0,0,1,1,17.68,Silver
63,Kaisa,17,MIDDLE,8,2,5,14677,277,35575,False,0,False,False,False,False,0,0,2,0,31.67,Silver
64,Kaisa,17,BOTTOM,6,6,12,15142,273,26468,False,0,False,False,False,False,0,0,4,1,25.92,Silver
65,Kaisa,12,BOTTOM,5,5,12,8253,29,12556,True,0,False,False,False,False,0,0,0,1,16.3,Silver
66,Caitlyn,16,BOTTOM,8,2,7,15119,231,18066,True,1,False,False,False,False,1,2,0,2,20.32,Silver
67,Caitlyn,14,BOTTOM,0,1,1,7965,198,6592,False,0,False,False,False,False,0,0,3,0,12.05,Silver
68,Teemo,11,NONE,4,2,0,7198,129,16531,True,0,False,False,False,False,0,0,0,5,42.53,Silver
69,Jinx,17,BOTTOM,16,5,12,19387,216,37563,True,0,False,False,False,False,0,1,0,3,34.95,Silver
70,Caitlyn,11,BOTTOM,3,4,1,8534,167,3363,False,0,False,False,False,True,0,0,2,5,9.77,Silver
71,Nocturne,17,JUNGLE,18,2,7,16650,38,23031,True,1,True,False,False,False,0,0,0,4,30.62,Silver
72,Jinx,18,BOTTOM,13,2,7,19928,246,30694,True,2,True,False,False,False,0,0,0,8,18.8,Silver
73,Caitlyn,15,BOTTOM,6,6,4,13745,229,18479,True,1,False,False,False,False,0,0,0,4,16.4,Silver
74,Teemo,17,TOP,5,3,7,13412,188,19471,True,1,False,False,False,False,1,1,0,3,18.53,Silver
75,Quinn,16,TOP,4,9,5,11975,184,15399,False,0,False,False,False,False,0,0,1,1,13.26,Silver
76,Udyr,15,JUNGLE,10,2,8,12255,65,18254,True,1,False,False,True,False,0,1,0,4,18.91,Silver
77,Ezreal,13,TOP,6,2,6,10202,144,13163,True,0,True,False,False,False,1,3,0,5,19.91,Silver
78,Quinn,18,TOP,15,2,7,16686,194,38270,True,2,False,False,False,False,2,2,0,2,28.71,Silver
79,Jinx,10,NONE,6,0,3,7087,124,9010,True,0,True,False,False,False,0,0,0,3,35.94,Silver
80,Caitlyn,14,BOTTOM,5,9,4,11160,175,17795,False,0,False,False,True,False,0,0,1,7,19.54,Silver
81,Caitlyn,14,BOTTOM,4,1,1,11079,182,12930,True,0,False,True,False,False,0,0,0,5,18.25,Silver
82,Nautilus,12,BOTTOM,3,4,4,7381,53,8211,False,0,False,True,False,False,0,0,1,1,13.25,Silver
83,Jinx,12,BOTTOM,2,6,3,8227,141,8795,False,0,True,False,False,False,0,0,1,0,16.46,Silver
84,XinZhao,16,JUNGLE,6,4,10,13904,44,16561,False,0,False,True,False,False,0,0,1,0,15.7,Silver
85,Nocturne,10,BOTTOM,0,2,2,5933,15,2675,False,0,False,False,False,False,0,0,0,0,7.0,Silver
86,Caitlyn,13,BOTTOM,2,3,7,9162,151,9742,False,0,False,False,False,False,0,0,3,2,22.79,Silver
87,Caitlyn,16,BOTTOM,5,7,7,14092,244,24473,False,0,False,False,False,False,0,0,3,3,20.17,Silver
88,Jinx,17,BOTTOM,11,6,13,16982,206,61043,False,0,False,False,False,True,0,0,2,0,33.37,Silver
89,Kaisa,13,BOTTOM,5,2,10,10248,130,11958,True,0,False,False,False,False,0,0,0,3,21.77,Silver
90,Caitlyn,16,BOTTOM,7,6,10,14292,202,21258,True,1,False,False,False,False,1,1,0,1,20.45,Silver
91,Jinx,18,BOTTOM,10,6,18,19192,247,30756,True,1,False,False,False,True,1,2,0,2,24.9,Silver
92,Lux,18,BOTTOM,5,5,26,13299,105,38797,True,0,False,False,False,False,1,1,0,2,21.81,Silver
0,Senna,10,BOTTOM,0,3,1,5422,36,4554,False,0,False,False,False,False,0,0,3,1,13.3,Diamond
1,Blitzcrank,11,BOTTOM,5,3,14,8011,33,6052,True,1,False,True,False,True,0,0,0,2,10.65,Diamond
2,Soraka,13,BOTTOM,0,2,17,8051,16,5369,True,1,False,False,False,False,0,1,0,2,5.64,Diamond
3,Senna,14,BOTTOM,3,7,7,11059,59,16006,False,1,False,False,False,False,0,0,1,1,18.17,Diamond
4,Senna,16,BOTTOM,8,7,18,14373,50,20361,True,2,False,False,False,False,2,4,0,2,14.2,Diamond
5,Senna,10,BOTTOM,5,0,5,8799,23,11213,True,0,False,False,False,True,1,2,0,9,23.58,Diamond
6,Senna,14,BOTTOM,3,10,12,10935,75,19233,False,1,False,False,False,False,0,0,1,2,20.38,Diamond
7,Senna,13,BOTTOM,3,1,12,9305,35,11607,True,1,False,False,False,False,0,0,0,4,17.79,Diamond
8,Soraka,15,BOTTOM,2,8,25,10371,30,10513,False,1,False,False,False,False,0,2,2,1,7.52,Diamond
9,Soraka,16,BOTTOM,1,4,25,10492,15,6099,True,2,False,False,False,False,1,3,0,3,5.18,Diamond
10,Soraka,11,BOTTOM,0,3,6,5546,20,2814,False,0,False,False,False,False,0,0,1,0,7.23,Diamond
11,Soraka,2,NONE,0,0,0,773,4,191,False,0,False,False,False,False,0,0,0,0,10.79,Diamond
12,Senna,13,BOTTOM,2,3,13,9676,36,12178,True,0,False,False,True,False,0,0,0,4,16.0,Diamond
13,Soraka,12,BOTTOM,1,4,25,7988,16,6974,True,1,False,False,False,False,0,0,0,3,10.7,Diamond
14,Soraka,11,BOTTOM,5,6,13,8669,35,8412,False,0,False,False,False,False,0,0,1,2,12.11,Diamond
15,Soraka,13,BOTTOM,2,6,20,8323,8,6318,True,1,False,False,False,False,0,1,0,2,8.38,Diamond
16,TahmKench,12,BOTTOM,1,0,10,9294,158,5920,True,0,False,False,True,False,0,0,0,5,9.61,Diamond
17,Soraka,14,MIDDLE,1,5,24,9189,23,7844,True,1,False,False,False,False,0,1,0,0,7.75,Diamond
18,Soraka,13,BOTTOM,0,3,20,8036,22,5644,True,0,True,False,True,False,0,0,0,2,6.99,Diamond
19,Yuumi,10,BOTTOM,1,3,3,4372,2,3203,False,0,False,False,False,False,0,0,1,0,8.11,Diamond
20,Soraka,10,BOTTOM,2,5,5,5191,18,4502,False,0,False,False,False,False,0,0,1,0,11.25,Diamond
