,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,rank
51,Jinx,15,BOTTOM,11,8,4,16701,218,25912,False,0,False,True,False,False,0,0,1,2,24.06,Platinum
52,Amumu,17,MIDDLE,2,14,28,11473,14,10779,True,0,False,False,False,False,1,1,0,0,8.74,Platinum
53,Qiyana,14,NONE,14,12,8,11832,24,23100,False,0,False,False,False,False,0,0,1,0,34.48,Platinum
54,Rakan,15,NONE,6,11,19,10642,12,11063,False,0,True,False,False,False,0,0,2,0,13.21,Platinum
55,Samira,18,TOP,38,13,17,24260,138,73697,True,0,False,True,False,False,1,1,1,0,49.23,Platinum
56,Syndra,17,TOP,11,7,13,13913,61,28973,False,0,False,False,False,False,0,1,2,0,27.44,Platinum
57,Zed,18,TOP,15,11,16,16415,68,32068,False,0,False,False,False,False,0,1,1,0,23.82,Platinum
58,Qiyana,18,BOTTOM,17,10,32,22095,95,50217,True,0,True,False,False,False,1,2,0,0,28.64,Platinum
59,Akshan,16,NONE,17,7,8,15310,92,27056,True,0,False,False,False,False,1,1,0,0,29.09,Platinum
60,Yasuo,14,NONE,11,11,12,10399,44,22145,False,0,False,False,False,False,0,0,1,0,25.95,Platinum
61,Kayle,17,NONE,6,7,27,13682,112,24066,False,0,True,False,False,False,0,0,2,0,23.45,Platinum
62,Leona,18,TOP,7,16,39,13117,36,21312,False,0,True,False,False,False,0,0,3,0,16.39,Platinum
63,Renata,17,NONE,4,5,29,11115,18,6956,False,0,True,False,False,False,0,0,1,0,7.01,Platinum
64,Samira,12,NONE,4,10,13,7826,30,12200,False,0,True,False,False,False,0,0,1,0,21.47,Platinum
65,Illaoi,18,NONE,11,11,15,13602,73,29921,False,0,False,False,False,False,1,1,2,0,20.08,Platinum
66,Zeri,15,NONE,14,8,18,13419,89,27015,True,0,False,False,False,True,1,1,0,0,32.57,Platinum
67,Varus,15,NONE,12,9,6,13305,59,20422,False,0,False,False,False,False,0,0,2,0,24.4,Platinum
68,Quinn,18,NONE,22,8,22,17859,77,42396,True,0,False,False,False,False,1,1,0,0,27.0,Platinum
69,KogMaw,18,TOP,22,12,29,23872,100,65952,True,0,False,False,True,False,1,2,3,0,28.48,Platinum
70,Alistar,16,NONE,3,16,26,10669,12,15058,False,0,False,False,False,False,0,0,1,0,11.01,Platinum
71,Fizz,15,NONE,12,14,10,10235,17,20534,False,0,False,False,False,False,0,0,2,0,18.33,Platinum
72,Azir,18,MIDDLE,8,10,19,13836,57,20679,True,0,False,False,False,False,0,1,2,0,16.52,Platinum
73,Rell,14,NONE,1,10,19,8283,13,7247,False,0,False,False,False,False,0,0,2,0,10.0,Platinum
74,Jinx,13,NONE,7,8,12,10152,62,11294,False,0,False,False,False,False,0,0,1,0,21.14,Platinum
75,Malphite,18,MIDDLE,9,15,23,13802,18,29159,True,0,False,False,False,False,0,1,1,0,16.24,Platinum
76,Caitlyn,15,NONE,17,7,8,12505,65,26428,False,0,False,True,False,False,0,0,1,0,35.89,Platinum
77,Kennen,18,JUNGLE,21,13,31,19265,70,54228,True,0,False,False,False,False,1,1,1,0,29.97,Platinum
78,Katarina,17,NONE,26,12,13,16615,55,43881,False,0,False,True,False,False,1,1,1,0,32.14,Platinum
79,Ziggs,18,TOP,8,9,32,17862,125,41507,False,0,False,True,False,False,0,0,2,0,28.8,Platinum
80,Thresh,13,NONE,4,8,15,8418,12,5989,False,0,True,False,False,False,0,0,1,0,11.26,Platinum
81,Viego,18,TOP,27,9,19,22662,104,56781,True,0,False,False,False,False,2,2,1,0,31.41,Platinum
82,Leblanc,16,MIDDLE,12,3,8,14622,198,35253,True,0,False,False,False,False,2,2,0,3,32.05,Platinum
83,Camille,15,TOP,5,6,2,10577,190,14496,False,0,False,False,False,False,0,0,1,0,28.19,Platinum
84,Azir,17,MIDDLE,12,3,7,15478,214,22014,True,2,False,False,False,False,0,0,0,1,23.44,Platinum
85,Sett,13,TOP,1,5,3,6813,129,7644,False,0,False,False,False,False,0,0,1,0,15.58,Platinum
86,Lucian,15,MIDDLE,12,1,7,14269,219,20548,True,0,False,False,True,False,1,1,0,5,24.94,Platinum
87,Zeri,17,BOTTOM,14,1,15,18432,248,30379,True,1,False,False,False,False,1,1,0,0,29.83,Platinum
88,Fiora,14,TOP,4,3,5,9289,130,9632,True,0,False,False,False,False,0,1,0,3,13.7,Platinum
89,Illaoi,18,TOP,5,9,0,18122,337,31715,False,0,False,False,False,True,4,4,1,5,27.8,Platinum
90,Alistar,12,BOTTOM,2,6,23,7851,27,9187,True,0,False,False,False,False,0,1,0,1,10.91,Platinum
91,Jhin,14,BOTTOM,6,6,8,10987,182,14046,True,0,False,False,False,False,0,2,0,0,13.36,Platinum
92,Pantheon,15,BOTTOM,13,8,14,11667,38,19765,True,1,True,False,False,False,0,1,0,1,14.66,Platinum
93,Lissandra,17,MIDDLE,7,5,8,13088,200,24661,False,1,False,False,False,False,0,0,2,3,21.64,Platinum
94,Caitlyn,17,BOTTOM,11,11,7,19439,224,27362,False,3,False,False,False,True,0,0,2,2,22.59,Platinum
95,Viktor,16,MIDDLE,6,2,11,14259,231,29129,True,0,True,False,False,False,0,1,0,3,31.88,Platinum
96,Kaisa,16,BOTTOM,8,7,8,14027,227,23198,False,0,False,True,False,False,0,0,2,0,22.8,Platinum
97,Lissandra,16,MIDDLE,7,5,18,11450,162,22028,True,0,False,True,False,False,0,1,0,2,23.94,Platinum
98,Karma,14,JUNGLE,4,1,22,9207,36,9508,True,1,False,True,False,False,0,0,0,0,9.86,Platinum
99,Lux,18,MIDDLE,11,6,37,15508,77,32282,True,0,False,False,False,False,0,1,0,0,19.62,Platinum
0,Gnar,14,MIDDLE,2,9,5,9118,164,12619,False,0,False,False,False,False,0,0,3,2,18.54,Gold
1,LeeSin,13,TOP,0,5,5,6964,130,6190,False,0,False,False,False,False,0,0,1,0,11.26,Gold
2,Gnar,13,TOP,1,4,2,7115,137,12603,True,0,False,False,False,False,0,0,0,0,21.6,Gold
3,Gnar,11,NONE,3,0,7,7289,88,7888,True,0,False,False,False,False,0,0,0,5,23.24,Gold
4,Gnar,18,TOP,10,7,10,18992,244,41114,False,1,False,True,False,True,1,1,2,4,34.79,Gold
5,Sett,14,TOP,5,7,9,12269,132,15749,True,1,False,False,False,False,0,2,0,5,19.07,Gold
6,Chogath,17,TOP,9,10,8,15304,186,31230,False,0,False,False,False,False,0,0,4,0,30.54,Gold
7,Jinx,17,BOTTOM,9,9,8,18049,260,32766,False,1,False,False,False,False,0,0,1,3,27.9,Gold
8,Ashe,16,BOTTOM,5,8,11,11941,206,22582,False,1,False,False,False,False,0,0,3,0,24.78,Gold
9,Jinx,13,BOTTOM,11,4,10,12665,176,21501,True,1,True,False,False,True,1,1,0,5,37.66,Gold
10,Tristana,12,NONE,13,2,7,10793,99,26252,True,0,False,False,False,True,0,1,0,8,31.69,Gold
11,Lulu,10,BOTTOM,2,11,9,5938,31,5143,False,0,False,False,False,False,0,0,1,0,7.19,Gold
12,Soraka,15,BOTTOM,4,6,26,11742,34,10490,True,2,False,False,True,False,0,2,1,3,8.37,Gold
13,Nautilus,12,BOTTOM,2,10,4,7212,37,7767,False,0,True,False,False,False,0,0,2,0,8.49,Gold
14,Ashe,18,BOTTOM,16,8,9,19804,286,46506,False,0,False,False,False,False,0,0,6,2,37.4,Gold
15,Xayah,18,BOTTOM,15,10,10,21584,285,41334,False,2,False,False,False,False,0,0,2,1,33.9,Gold
16,LeeSin,16,JUNGLE,3,5,7,12412,51,16356,False,0,False,False,True,False,0,0,2,1,16.09,Gold
17,Veigar,18,MIDDLE,12,9,14,17587,222,41848,False,1,True,False,False,False,1,3,1,0,28.47,Gold
18,LeeSin,15,JUNGLE,5,9,8,11821,28,16367,False,0,False,False,False,False,0,0,2,1,17.07,Gold
19,LeeSin,16,JUNGLE,7,6,12,12535,29,17232,True,1,True,False,False,False,0,1,0,0,18.22,Gold
20,Tristana,16,BOTTOM,7,14,4,13954,202,22332,False,0,False,False,False,False,0,0,1,3,16.55,Gold
21,Tristana,18,BOTTOM,20,6,11,22575,267,69292,True,1,False,False,False,False,0,1,3,3,41.61,Gold
22,Tristana,18,JUNGLE,22,6,8,22030,255,51392,True,0,True,False,True,False,0,1,3,4,34.24,Gold
23,Tristana,16,BOTTOM,20,3,9,17450,185,37319,True,0,False,False,True,False,2,2,0,5,39.47,Gold
24,Tristana,16,BOTTOM,12,1,9,15166,223,35035,True,1,False,False,True,False,1,1,0,3,39.92,Gold
25,Tristana,17,BOTTOM,15,2,8,18010,224,44128,True,2,False,True,False,False,0,1,1,4,38.2,Gold
26,Vayne,15,BOTTOM,13,1,5,15500,197,22596,True,1,False,False,False,False,1,2,0,4,28.59,Gold
27,Yasuo,16,BOTTOM,9,7,9,15360,239,21024,True,0,False,False,False,False,1,1,0,5,20.29,Gold
28,Ezreal,11,BOTTOM,3,10,3,7887,128,16768,False,0,False,False,False,False,0,0,1,1,33.4,Gold
29,Kaisa,15,BOTTOM,3,7,9,11877,231,18385,False,0,False,False,False,False,0,0,2,2,21.49,Gold
30,Jinx,18,BOTTOM,17,6,12,21239,303,54498,True,1,False,False,False,True,2,4,1,3,39.29,Gold
31,Vayne,13,BOTTOM,5,7,4,12045,227,12382,False,0,False,True,False,False,0,0,2,0,24.08,Gold
32,Lucian,13,BOTTOM,7,2,3,11622,199,15373,True,0,False,False,True,False,0,0,0,6,27.83,Gold
33,Jinx,15,BOTTOM,21,6,12,17580,235,43403,True,1,True,False,False,True,0,1,0,4,46.49,Gold
34,Vayne,15,BOTTOM,5,6,3,13418,258,20361,False,0,False,False,False,False,0,0,1,4,27.46,Gold
35,Viktor,17,MIDDLE,10,11,17,15345,201,62550,False,1,False,False,False,False,0,1,2,3,40.6,Gold
36,Jinx,16,BOTTOM,12,5,12,16218,238,36995,False,0,False,False,True,False,0,1,2,1,33.88,Gold
37,Jinx,18,BOTTOM,11,6,10,17774,304,44657,True,0,False,False,False,False,1,1,5,0,30.83,Gold
38,Jhin,16,BOTTOM,7,3,16,13187,214,25630,True,1,False,False,False,False,0,2,0,0,23.1,Gold
