,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
50,Vayne,11,BOTTOM,1,10,1,6231,70,3055,False,0,False,False,False,False,0,0,2,2,5.13,4/2/2022
51,Kaisa,17,BOTTOM,15,6,7,16856,182,32557,False,1,False,False,False,False,0,0,4,0,22.08,4/2/2022
52,Kaisa,3,NONE,0,0,0,845,8,658,False,0,False,False,False,False,0,0,0,0,23.62,4/2/2022
53,Zeri,16,BOTTOM,6,14,3,16166,243,23461,False,0,False,True,False,False,0,0,1,2,13.04,3/30/2022
54,Zeri,8,NONE,0,3,0,4035,79,3641,False,0,False,False,False,False,0,0,0,0,17.67,3/30/2022
55,Tristana,9,BOTTOM,2,4,4,5570,70,5528,False,0,False,False,False,False,0,0,0,0,27.53,3/30/2022
56,Yuumi,16,BOTTOM,5,4,37,11441,1,11201,True,1,False,False,False,False,0,1,0,0,9.47,3/29/2022
57,Yuumi,10,MIDDLE,0,4,4,5174,3,4479,False,0,False,False,False,False,0,0,0,1,9.85,3/29/2022
58,Caitlyn,1,NONE,0,1,0,1549,1,180,False,0,False,False,False,False,0,0,0,0,1.79,3/27/2022
59,Yuumi,13,BOTTOM,2,3,10,8209,3,9874,False,0,False,False,False,False,0,0,1,0,12.56,3/27/2022
60,Ashe,11,BOTTOM,2,0,5,7139,98,6494,True,0,False,False,False,False,0,0,0,1,14.76,3/25/2022
61,Yuumi,15,BOTTOM,2,3,26,9358,5,10367,True,0,False,False,False,False,0,0,1,0,8.63,3/25/2022
62,Pantheon,13,BOTTOM,1,10,2,7114,36,9172,False,0,False,False,False,False,0,0,3,0,11.03,3/24/2022
63,Yuumi,11,BOTTOM,0,0,15,7138,7,8283,True,0,False,False,False,False,0,2,0,0,10.57,3/24/2022
64,Yuumi,9,BOTTOM,1,7,10,5680,0,4527,False,0,False,False,False,False,0,0,2,0,9.96,3/24/2022
65,Twitch,18,BOTTOM,25,7,7,21668,199,63056,True,0,False,False,False,False,1,1,0,3,34.46,3/23/2022
66,Twitch,12,BOTTOM,6,7,7,9126,72,15422,True,0,False,False,False,False,0,0,0,0,15.1,3/23/2022
67,Kalista,11,BOTTOM,4,2,2,7832,118,7409,True,0,False,False,False,False,1,1,0,3,12.04,3/23/2022
68,Kalista,14,BOTTOM,2,6,5,10752,161,12962,True,0,False,False,False,False,0,0,0,0,11.14,3/23/2022
69,Leblanc,13,BOTTOM,4,11,8,8564,54,14919,False,0,False,False,False,False,0,0,2,0,24.87,3/22/2022
70,Kindred,15,BOTTOM,7,11,6,12700,105,20000,True,0,False,False,False,False,0,0,1,1,16.25,3/21/2022
71,Alistar,13,MIDDLE,2,7,14,7953,44,7541,True,1,False,True,False,False,0,1,0,1,10.34,3/20/2022
72,Leblanc,17,MIDDLE,5,5,5,10105,151,17200,False,0,False,False,False,False,0,0,2,0,20.41,3/20/2022
73,Leblanc,13,TOP,7,5,4,9084,104,11876,False,0,False,False,False,False,0,0,1,2,20.75,3/20/2022
74,Katarina,17,MIDDLE,4,16,14,12375,132,20807,True,1,False,True,False,False,0,0,4,1,14.92,3/19/2022
75,Leblanc,13,TOP,8,2,1,8356,109,15910,True,0,False,False,False,False,0,0,0,0,26.51,3/19/2022
76,Leblanc,12,MIDDLE,3,2,0,7295,113,5801,True,0,False,False,False,False,0,0,0,1,7.45,3/19/2022
77,Vex,15,MIDDLE,6,9,13,10169,111,21536,True,1,False,False,False,False,0,2,0,0,21.37,3/18/2022
78,Katarina,18,MIDDLE,13,8,6,17294,201,30917,True,1,False,False,False,False,1,1,0,1,24.3,3/18/2022
79,Leblanc,18,MIDDLE,14,5,9,16939,191,45441,False,0,False,False,False,False,0,0,2,2,27.03,3/18/2022
80,Jayce,11,NONE,2,3,7,6781,87,7977,True,0,False,False,False,False,0,0,0,4,16.4,3/18/2022
81,Leblanc,16,MIDDLE,17,4,10,14448,162,26942,True,1,False,False,False,False,0,1,0,2,22.05,3/18/2022
82,Anivia,18,MIDDLE,6,6,6,14190,173,20124,False,0,False,False,False,False,0,0,3,0,14.86,3/17/2022
83,Irelia,12,TOP,5,6,1,8386,142,7546,True,0,False,True,False,False,0,0,0,0,19.11,3/17/2022
84,Irelia,11,NONE,3,1,0,6537,117,4021,True,0,False,False,False,True,0,0,0,5,16.25,3/17/2022
85,Irelia,13,TOP,4,10,7,8151,144,14178,False,0,False,False,False,False,0,0,3,3,25.25,3/17/2022
86,Soraka,4,BOTTOM,0,0,0,5135,0,836,False,0,False,False,False,False,0,0,4,0,1.06,3/17/2022
87,Cassiopeia,15,BOTTOM,11,1,7,14124,164,15861,True,1,False,False,False,False,2,2,0,2,16.19,2/21/2022
88,Kassadin,17,BOTTOM,12,6,3,14086,199,31770,True,0,False,False,False,False,0,0,0,0,26.67,2/21/2022
89,Lucian,11,BOTTOM,2,3,6,7196,126,9482,True,0,False,False,False,False,0,0,0,0,16.83,2/21/2022
90,Tristana,15,BOTTOM,5,11,9,11062,162,18767,False,0,False,False,False,False,0,0,3,1,16.51,2/20/2022
91,Aphelios,9,NONE,1,3,1,4270,71,4183,False,0,False,False,False,False,0,0,0,1,18.49,2/18/2022
92,Jhin,16,BOTTOM,4,12,4,12153,135,11999,False,1,False,False,False,False,0,0,1,1,7.03,2/18/2022
93,Kassadin,18,BOTTOM,21,16,5,23203,200,72963,True,1,False,False,False,False,0,0,3,0,32.82,2/18/2022
94,Senna,12,BOTTOM,1,4,2,6895,103,11172,False,0,False,False,False,False,0,0,0,0,18.01,2/18/2022
95,Ashe,10,BOTTOM,0,5,4,5071,54,6513,True,0,False,False,False,False,0,0,0,0,9.6,2/18/2022
96,Vayne,13,MIDDLE,1,11,5,6872,82,7397,False,0,False,False,False,False,0,0,2,0,9.52,2/18/2022
97,Kassadin,11,BOTTOM,4,7,5,7606,95,9619,True,0,False,False,False,False,0,0,0,0,13.04,2/17/2022
98,Kaisa,3,NONE,1,0,0,1311,16,408,True,0,False,False,False,False,0,0,0,0,18.54,2/17/2022
