,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date,rank
13,Gnar,13,TOP,1,4,2,7115,137,12603,True,0,False,False,False,False,0,0,0,0,21.6,4/11/2022,Gold
14,Gnar,11,NONE,3,0,7,7289,88,7888,True,0,False,False,False,False,0,0,0,5,23.24,4/11/2022,Gold
15,Gnar,18,TOP,10,7,10,18992,244,41114,False,1,False,True,False,True,1,1,2,4,34.79,4/9/2022,Gold
16,Sett,14,TOP,5,7,9,12269,132,15749,True,1,False,False,False,False,0,2,0,5,19.07,4/9/2022,Gold
17,Chogath,17,TOP,9,10,8,15304,186,31230,False,0,False,False,False,False,0,0,4,0,30.54,4/9/2022,Gold
18,Jinx,17,BOTTOM,9,9,8,18049,260,32766,False,1,False,False,False,False,0,0,1,3,27.9,4/9/2022,Gold
19,Ashe,16,BOTTOM,5,8,11,11941,206,22582,False,1,False,False,False,False,0,0,3,0,24.78,4/6/2022,Gold
20,Jinx,13,BOTTOM,11,4,10,12665,176,21501,True,1,True,False,False,True,1,1,0,5,37.66,4/6/2022,Gold
21,Tristana,12,NONE,13,2,7,10793,99,26252,True,0,False,False,False,True,0,1,0,8,31.69,4/6/2022,Gold
22,Lulu,10,BOTTOM,2,11,9,5938,31,5143,False,0,False,False,False,False,0,0,1,0,7.19,3/30/2022,Gold
23,Soraka,15,BOTTOM,4,6,26,11742,34,10490,True,2,False,False,True,False,0,2,1,3,8.37,3/29/2022,Gold
24,Nautilus,12,BOTTOM,2,10,4,7212,37,7767,False,0,True,False,False,False,0,0,2,0,8.49,3/29/2022,Gold
25,Ashe,18,BOTTOM,16,8,9,19804,286,46506,False,0,False,False,False,False,0,0,6,2,37.4,3/29/2022,Gold
26,Xayah,18,BOTTOM,15,10,10,21584,285,41334,False,2,False,False,False,False,0,0,2,1,33.9,3/28/2022,Gold
27,LeeSin,16,JUNGLE,3,5,7,12412,51,16356,False,0,False,False,True,False,0,0,2,1,16.09,3/28/2022,Gold
28,Veigar,18,MIDDLE,12,9,14,17587,222,41848,False,1,True,False,False,False,1,3,1,0,28.47,3/28/2022,Gold
29,LeeSin,15,JUNGLE,5,9,8,11821,28,16367,False,0,False,False,False,False,0,0,2,1,17.07,3/28/2022,Gold
30,LeeSin,16,JUNGLE,7,6,12,12535,29,17232,True,1,True,False,False,False,0,1,0,0,18.22,3/28/2022,Gold
31,Tristana,16,BOTTOM,7,14,4,13954,202,22332,False,0,False,False,False,False,0,0,1,3,16.55,3/27/2022,Gold
32,Tristana,18,BOTTOM,20,6,11,22575,267,69292,True,1,False,False,False,False,0,1,3,3,41.61,3/26/2022,Gold
33,Tristana,18,JUNGLE,22,6,8,22030,255,51392,True,0,True,False,True,False,0,1,3,4,34.24,3/26/2022,Gold
34,Tristana,16,BOTTOM,20,3,9,17450,185,37319,True,0,False,False,True,False,2,2,0,5,39.47,3/26/2022,Gold
35,Tristana,16,BOTTOM,12,1,9,15166,223,35035,True,1,False,False,True,False,1,1,0,3,39.92,3/26/2022,Gold
36,Tristana,17,BOTTOM,15,2,8,18010,224,44128,True,2,False,True,False,False,0,1,1,4,38.2,3/26/2022,Gold
37,Vayne,15,BOTTOM,13,1,5,15500,197,22596,True,1,False,False,False,False,1,2,0,4,28.59,3/25/2022,Gold
38,Yasuo,16,BOTTOM,9,7,9,15360,239,21024,True,0,False,False,False,False,1,1,0,5,20.29,3/25/2022,Gold
39,Ezreal,11,BOTTOM,3,10,3,7887,128,16768,False,0,False,False,False,False,0,0,1,1,33.4,3/25/2022,Gold
40,Kaisa,15,BOTTOM,3,7,9,11877,231,18385,False,0,False,False,False,False,0,0,2,2,21.49,3/25/2022,Gold
41,Jinx,18,BOTTOM,17,6,12,21239,303,54498,True,1,False,False,False,True,2,4,1,3,39.29,3/25/2022,Gold
42,Vayne,13,BOTTOM,5,7,4,12045,227,12382,False,0,False,True,False,False,0,0,2,0,24.08,3/25/2022,Gold
43,Lucian,13,BOTTOM,7,2,3,11622,199,15373,True,0,False,False,True,False,0,0,0,6,27.83,3/25/2022,Gold
44,Jinx,15,BOTTOM,21,6,12,17580,235,43403,True,1,True,False,False,True,0,1,0,4,46.49,3/25/2022,Gold
45,Vayne,15,BOTTOM,5,6,3,13418,258,20361,False,0,False,False,False,False,0,0,1,4,27.46,3/25/2022,Gold
46,Viktor,17,MIDDLE,10,11,17,15345,201,62550,False,1,False,False,False,False,0,1,2,3,40.6,3/25/2022,Gold
47,Jinx,16,BOTTOM,12,5,12,16218,238,36995,False,0,False,False,True,False,0,1,2,1,33.88,3/24/2022,Gold
48,Jinx,18,BOTTOM,11,6,10,17774,304,44657,True,0,False,False,False,False,1,1,5,0,30.83,3/24/2022,Gold
49,Jhin,16,BOTTOM,7,3,16,13187,214,25630,True,1,False,False,False,False,0,2,0,0,23.1,3/24/2022,Gold
50,Ezreal,15,BOTTOM,9,3,6,13556,219,23684,True,1,False,True,False,False,1,1,0,1,31.88,3/24/2022,Gold
51,Kaisa,15,BOTTOM,10,4,6,13322,204,19476,True,1,False,True,False,False,1,1,0,1,21.56,3/23/2022,Gold
52,Trundle,17,JUNGLE,12,3,13,14643,42,28943,True,1,False,False,False,False,0,0,0,0,25.93,3/23/2022,Gold
53,LeeSin,15,JUNGLE,2,6,15,11222,30,13376,False,0,False,False,True,False,0,0,1,4,15.02,3/23/2022,Gold
54,Viktor,16,MIDDLE,7,5,8,13215,202,20721,True,1,False,False,False,False,0,0,0,3,31.57,3/23/2022,Gold
55,Ezreal,15,BOTTOM,6,9,12,14693,210,36559,False,1,True,False,False,True,0,0,2,4,32.24,3/23/2022,Gold
56,Kennen,14,TOP,5,8,4,10495,157,14418,False,0,True,False,False,False,0,0,2,3,21.7,3/23/2022,Gold
57,LeeSin,13,JUNGLE,3,11,6,8948,26,11805,False,0,False,False,False,False,0,0,1,0,16.76,3/23/2022,Gold
58,LeeSin,15,JUNGLE,0,11,13,10755,49,13442,False,0,True,False,False,False,0,0,1,0,12.48,3/22/2022,Gold
59,Ezreal,13,BOTTOM,6,1,1,11514,214,18753,True,1,False,True,False,False,1,1,0,0,41.83,3/22/2022,Gold
60,Jinx,14,BOTTOM,3,9,3,11792,223,13375,False,0,False,False,False,True,0,0,2,5,15.36,3/21/2022,Gold
61,LeeSin,12,JUNGLE,6,6,2,9219,51,7354,False,0,False,True,False,False,0,0,3,0,10.92,3/21/2022,Gold
62,LeeSin,11,JUNGLE,3,10,2,7058,19,9546,False,0,False,False,False,False,0,0,2,0,19.08,3/21/2022,Gold
0,Lucian,15,TOP,11,3,3,14466,201,21242,True,1,False,False,False,False,0,0,0,5,32.07,4/16/2022,Challenger
1,Lucian,13,NONE,6,2,1,8631,148,12083,False,0,False,False,False,False,0,0,0,0,33.49,4/15/2022,Challenger
2,Graves,8,NONE,0,2,0,4292,88,3541,False,0,False,False,False,False,0,0,1,4,34.75,4/15/2022,Challenger
3,Gangplank,14,TOP,4,5,2,11140,185,13220,False,0,False,False,False,False,0,0,0,5,32.6,4/15/2022,Challenger
4,Ryze,12,MIDDLE,0,6,4,6397,150,11391,False,0,False,False,False,False,0,0,2,0,30.77,4/15/2022,Challenger
5,Jayce,13,NONE,10,3,1,11248,155,13617,True,0,False,True,False,True,0,0,0,5,26.34,4/14/2022,Challenger
6,Gangplank,11,NONE,2,1,2,7979,126,8840,True,0,False,False,False,True,0,0,0,6,21.39,4/14/2022,Challenger
7,Jayce,17,TOP,9,8,6,16808,243,38585,False,0,False,True,True,False,1,1,3,4,35.84,4/13/2022,Challenger
8,Jayce,17,TOP,7,3,4,15876,272,26986,False,0,False,False,False,False,0,0,3,2,34.35,4/13/2022,Challenger
9,Ryze,13,NONE,7,1,6,9280,149,10080,True,0,True,False,False,False,0,0,0,2,26.56,4/13/2022,Challenger
10,Urgot,18,TOP,10,3,7,21048,308,31045,True,2,False,False,False,False,3,4,1,6,32.28,4/12/2022,Challenger
11,Sion,16,TOP,2,7,10,11459,218,11380,True,1,False,False,False,False,0,1,0,2,10.86,4/12/2022,Challenger
12,Ornn,18,TOP,5,8,12,14547,243,28447,True,1,False,False,False,False,0,1,2,0,19.36,4/12/2022,Challenger
13,Jayce,18,TOP,11,5,6,19358,289,44076,False,2,False,False,True,False,0,0,1,5,36.26,4/12/2022,Challenger
14,Urgot,17,JUNGLE,18,5,8,20157,206,32626,True,2,False,False,False,True,2,2,0,8,30.15,4/10/2022,Challenger
15,Renekton,18,TOP,5,9,12,17512,264,33194,True,1,False,False,False,True,0,0,0,5,20.85,4/10/2022,Challenger
16,Jayce,15,MIDDLE,4,9,4,11475,191,19166,False,0,False,False,False,False,0,0,3,2,35.65,4/9/2022,Challenger
17,Graves,17,MIDDLE,9,5,6,16002,227,28725,True,1,False,False,False,False,0,1,0,2,39.34,4/9/2022,Challenger
18,Gangplank,17,TOP,4,6,5,14861,236,20854,True,1,False,False,False,False,0,0,0,4,27.93,4/9/2022,Challenger
19,Gangplank,13,NONE,2,2,6,8255,126,10897,True,0,False,False,False,False,1,1,0,1,19.13,4/8/2022,Challenger
20,Jayce,18,JUNGLE,8,6,9,19917,263,34611,True,2,False,False,False,False,0,1,1,6,26.18,4/8/2022,Challenger
21,Jayce,14,MIDDLE,6,3,6,13119,179,24432,True,1,False,False,False,False,0,1,0,3,32.46,4/8/2022,Challenger
22,Camille,15,TOP,14,1,6,13342,166,23191,True,0,False,False,False,True,0,0,0,5,37.42,4/8/2022,Challenger
23,Galio,13,MIDDLE,6,7,7,9327,143,13903,False,0,False,False,False,False,0,0,2,0,30.62,4/7/2022,Challenger
24,Jayce,11,NONE,1,6,0,6531,140,8820,False,0,False,False,False,False,0,0,1,1,29.81,4/7/2022,Challenger
25,Jax,14,JUNGLE,6,6,2,9912,188,21307,False,0,False,False,False,False,0,0,1,1,31.02,4/7/2022,Challenger
26,Jayce,12,NONE,4,3,1,7271,120,9216,True,0,False,False,False,False,0,0,0,4,28.07,4/7/2022,Challenger
27,Camille,13,NONE,5,0,0,9285,170,10817,True,0,False,False,False,False,0,0,0,4,27.39,4/7/2022,Challenger
28,Lucian,13,MIDDLE,3,7,1,8790,179,11947,False,0,False,False,False,False,0,0,1,3,18.74,4/7/2022,Challenger
29,Ryze,18,TOP,10,6,12,16627,237,31099,True,1,False,False,False,False,0,1,1,2,27.01,4/7/2022,Challenger
30,Jayce,15,TOP,10,4,11,13794,172,24315,True,1,True,False,False,False,0,1,0,4,30.0,4/7/2022,Challenger
31,Aatrox,16,MIDDLE,6,7,2,12000,196,20185,False,0,False,False,False,False,0,0,2,0,28.81,4/7/2022,Challenger
32,Gangplank,11,NONE,2,4,0,6688,119,11313,False,0,False,False,False,False,0,0,0,3,28.77,4/7/2022,Challenger
33,Jayce,16,TOP,4,8,7,13332,250,25535,False,0,False,False,True,False,0,0,2,5,25.97,4/7/2022,Challenger
34,Gangplank,17,TOP,4,8,7,14725,257,32661,False,0,False,False,False,False,0,0,1,2,31.45,4/6/2022,Challenger
35,Gangplank,13,NONE,3,1,5,9383,165,14512,True,0,False,False,False,False,0,0,0,3,22.52,4/6/2022,Challenger
36,Jayce,3,NONE,0,0,0,1043,18,755,False,0,False,False,False,False,0,0,0,0,46.26,4/6/2022,Challenger
37,Jayce,18,TOP,6,10,6,15391,259,30789,False,1,False,False,False,False,0,0,2,3,31.72,4/6/2022,Challenger
38,Rumble,14,TOP,5,7,7,9909,155,17416,False,0,False,False,False,False,0,0,1,2,22.64,4/2/2022,Challenger
39,Kaisa,17,BOTTOM,17,2,6,17300,242,33304,True,1,True,False,False,False,1,2,0,3,31.75,3/31/2022,Challenger
40,Jax,12,TOP,0,4,0,6607,152,10344,False,0,False,False,False,False,0,0,1,2,25.1,3/31/2022,Challenger
41,Trundle,12,NONE,3,2,7,8909,138,9418,True,0,False,False,False,True,0,0,0,5,27.18,3/28/2022,Challenger
42,Mordekaiser,16,TOP,6,5,4,12056,197,18979,False,0,False,False,False,False,0,0,1,2,25.86,3/27/2022,Challenger
43,Lucian,14,BOTTOM,8,7,16,13250,180,21182,True,1,False,False,False,False,0,1,0,1,23.1,3/27/2022,Challenger
44,Darius,12,NONE,2,1,1,7775,170,4565,True,0,False,False,False,False,0,1,0,1,9.54,3/27/2022,Challenger
45,Gangplank,18,TOP,5,4,13,18369,287,26270,True,1,False,False,False,True,1,2,0,5,24.78,3/22/2022,Challenger
46,Graves,16,JUNGLE,11,2,11,15875,214,35792,True,1,False,True,False,True,1,1,0,5,34.9,3/22/2022,Challenger
47,Viego,13,JUNGLE,5,10,5,10205,6,16082,False,0,False,False,False,False,0,0,1,0,19.59,3/21/2022,Challenger
48,Jayce,11,NONE,6,0,2,8151,138,10326,True,0,False,False,False,True,0,1,0,5,28.37,3/21/2022,Challenger
49,Renekton,17,TOP,15,3,15,20550,238,39231,True,0,False,False,False,True,0,1,0,7,36.53,3/21/2022,Challenger
50,Jayce,14,TOP,8,6,1,11985,179,16357,False,0,False,False,False,True,0,0,0,5,38.25,3/21/2022,Challenger
51,Yorick,12,NONE,3,1,1,9071,144,6916,True,0,False,False,False,True,1,1,0,5,17.91,3/21/2022,Challenger
52,Graves,12,NONE,3,4,2,6493,122,7220,True,0,False,False,False,False,0,0,0,1,22.37,3/20/2022,Challenger
53,Jayce,17,TOP,12,7,10,14845,215,35204,True,0,True,False,False,False,0,1,0,2,38.43,3/20/2022,Challenger
54,Kaisa,15,BOTTOM,5,5,4,11109,194,10340,True,1,False,False,False,False,0,1,0,1,12.8,3/20/2022,Challenger
55,Graves,13,NONE,5,0,5,10835,180,10751,True,0,False,True,False,False,1,1,0,4,34.44,3/20/2022,Challenger
56,Garen,16,MIDDLE,5,2,2,15563,244,10972,True,1,False,False,False,False,4,4,0,5,21.69,3/20/2022,Challenger
57,Lucian,13,TOP,4,8,8,10277,187,15682,False,0,False,False,False,False,0,0,0,4,24.12,3/20/2022,Challenger
58,Jax,16,TOP,9,4,3,12679,171,23226,True,1,False,False,False,False,1,1,0,3,34.51,3/20/2022,Challenger
59,Graves,18,TOP,7,7,9,16916,265,35990,True,2,False,False,True,False,0,0,0,5,28.05,3/18/2022,Challenger
60,Jax,17,TOP,14,2,10,17958,223,29688,True,1,False,False,True,False,1,1,0,10,36.43,3/16/2022,Challenger
61,Zyra,11,BOTTOM,6,2,9,7920,27,17028,True,0,False,False,True,False,0,0,0,2,29.69,3/14/2022,Challenger
62,Kaisa,14,MIDDLE,7,3,4,10653,162,14340,True,0,False,False,False,False,0,1,0,3,19.86,3/13/2022,Challenger
63,Graves,12,NONE,5,4,5,8173,131,11508,True,0,False,True,False,False,0,0,0,4,27.4,3/13/2022,Challenger
64,Lucian,18,MIDDLE,9,9,5,15975,239,30981,False,1,False,False,False,False,0,0,1,0,23.08,3/13/2022,Challenger
65,Galio,14,MIDDLE,4,2,10,10435,169,9998,True,1,True,False,False,False,0,2,0,5,18.87,3/13/2022,Challenger
66,Lucian,15,TOP,6,5,3,11314,187,19939,True,1,False,False,False,True,0,0,0,2,33.68,3/13/2022,Challenger
67,Rengar,13,TOP,2,8,3,8352,141,7824,False,0,False,False,False,False,0,0,2,1,13.42,3/13/2022,Challenger
68,Ryze,15,TOP,10,3,3,11919,177,18560,True,0,False,False,True,False,0,0,0,2,24.94,3/12/2022,Challenger
69,Lucian,17,MIDDLE,13,8,5,15856,232,27719,True,1,True,False,False,False,0,1,0,1,29.69,3/12/2022,Challenger
70,Gnar,13,TOP,10,13,1,10211,121,16964,False,0,False,False,False,False,0,0,0,0,27.87,3/11/2022,Challenger
71,Jayce,18,TOP,7,7,4,16326,267,27988,False,0,False,False,False,False,0,0,2,3,38.8,3/11/2022,Challenger
72,Jayce,12,NONE,7,0,1,8737,147,10898,True,0,False,True,False,False,0,0,0,4,32.19,3/11/2022,Challenger
73,Jayce,15,TOP,6,6,7,13222,194,24246,True,1,False,False,False,False,1,1,0,3,33.42,3/11/2022,Challenger
74,Graves,14,TOP,6,2,3,10802,196,13349,True,0,False,False,False,False,0,0,0,4,22.72,3/11/2022,Challenger
75,Mordekaiser,13,TOP,5,4,2,9692,158,18219,False,0,False,False,False,True,0,0,0,5,34.07,3/11/2022,Challenger
76,Graves,15,TOP,7,3,5,11308,186,17113,True,0,False,False,False,False,0,0,0,3,27.23,3/11/2022,Challenger
77,Lucian,13,TOP,4,1,2,8633,158,13678,False,0,False,False,False,False,0,0,0,3,27.73,3/11/2022,Challenger
78,Darius,15,MIDDLE,11,4,4,11993,164,25802,True,0,False,True,False,False,0,0,0,1,34.34,3/11/2022,Challenger
79,Gangplank,15,TOP,2,4,4,11566,187,9502,True,1,False,False,False,False,0,1,0,4,18.29,3/10/2022,Challenger
80,Kennen,16,TOP,4,6,6,12258,222,23237,False,0,True,False,False,False,0,0,0,2,33.09,3/10/2022,Challenger
81,Tryndamere,18,MIDDLE,12,10,7,18889,289,32714,False,2,False,True,False,False,0,0,1,1,29.74,3/10/2022,Challenger
82,Graves,18,TOP,3,12,5,13643,237,17852,True,2,False,False,False,False,0,0,0,0,17.56,3/10/2022,Challenger
83,Trundle,13,NONE,5,0,1,9674,179,8088,True,0,False,False,False,False,1,1,0,2,21.32,3/9/2022,Challenger
84,Graves,18,JUNGLE,9,8,13,18690,298,41319,False,1,False,False,False,False,0,0,2,4,36.81,3/8/2022,Challenger
85,Hecarim,16,JUNGLE,7,3,7,14239,53,29722,False,0,False,False,False,False,0,0,1,0,38.01,3/8/2022,Challenger
86,Urgot,11,NONE,4,1,4,6759,103,4180,True,0,False,False,False,False,0,0,0,3,12.22,3/8/2022,Challenger
87,Gragas,15,TOP,3,3,7,9664,169,17191,True,1,False,False,False,False,0,0,0,1,26.52,3/8/2022,Challenger
88,Trundle,15,TOP,2,4,6,9137,174,13377,True,1,False,False,False,False,0,0,0,0,22.86,3/8/2022,Challenger
89,Jhin,10,NONE,4,6,3,7602,140,7877,False,0,False,False,False,False,0,0,1,2,19.53,3/6/2022,Challenger
